,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
2462,DW129,GOBLIN,PROFONDO ROSSO,5053760041887,1,LP,DEATH WALTZ RECORDIN,3095,0,1,1,20.09.2018
2465,REWIGLP065,THE FEELIES,CRAZY RHYTHMS,5034202206514,1,LP,Domino Records,1109,0,1,2,28.09.2009
2466,3347116,BILLIE HOLIDAY,STRANGE FRUIT,3596973471161,1,LP,WAGRAM,825,0,1,1,26.10.2017
2469,bec5156306,mmoths,deu- 10' -  Limited RSD 2016,5060421563060,1,LP,because music,655,0,1,1,16.04.2016
2470,OPPONO11LP,OLYMPIA,FLAMINGO,5053760048633,1,LP, ,1445,0,1,2,05.07.2019
2471,TB6027,BILL LASWELL AND FRIENDS,Deconstruction Of The 80S,889397106027,2,LP,TIGER BAY,1505,0,1,1, 
2473,HT096962,NAZARETH,LOUD N PROUD,4050538467079,1,LP,BMG RIGHTS,1116,0,1,2,26.04.2019
2474,CRAM 144,AKRON FAMILY,"SET 'EM WILD, SET 'EM FREE",876623006039,1,LP,CRAMMED DISCS,1375,0,1,2, 
2475,MOSHILP81,BENIN CITY,LAST NIGHT,5060164955825,1,LP,MOSHI,486,0,1,1,07.06.2018
2478,FARO207LP,Eumir Deodato - Os Cadetraticos,Ataque,5060211503719,1,LP,Far Out,1261,0,1,1, 
2480,MRBLP134,BANDA BLACK RIO,MARIA FUMACA,7119691241920,1,LP, ,1336,0,1,8,29.07.2016
2484,DOL962HG,IKE & TINA TURNER,The Soul of Ike & Tina Turner,889397219628,1,LP,DOL,815,0,1,1, 
2485,305381,Amon Düül II,Vive la trance,693723053813,1,LP,BMG - Berlin,1924,0,1,1,26.10.2018
2488,GCR 20002-1N,MOTÖRHEAD,Bastards,90204640034,1,LP,zyx/gcr,1100,0,1,3,05.07.2013
2492,N012LPP,Narnia,Long Live The King (Picture Vinyl LP),7320470241011,1,LP,NARNIASONG,1500,0,1,6, 
2494,LBJ279LP,THE FAINT,EGOWERK,648401027914,1,LP,SADDLE CREEK,1342,0,1,1,15.03.2019
2495,HDBLP010,DVA,PRETTY UGLY,5055300330185,1,LP,HYPERDUB,949,0,1,1, 
2497,DOL801MB,MILES DAVIS,Birth Of The Cool - Coloured Vinyl,889397105464,1,LP,DOL,752,0,1,1, 
2500,MEL11,WOMACK & WOMACK,MISSIN' PERSONS BEREAU,5053760036807,1,12',Melodies,825,0,1,9,17.05.2018
2502,MRBLP084,"CORTES,LULA",ROSA DE SANGUE,711969119015,1,LP,MR BONGO,1041,0,1,1,01.01.2014
2503,SMALP1157,W.A.S.P.,FIRST BLOOD LAST CUTS,636551815710,1,LP,Snapper,1414,0,1,3,05.07.2019
2504,COUNT118,ODESZA,A MOMENT APART,5054429119152,1,LP,Ninja Tune,1444,0,1,1,08.09.2017
2506,EPIT 27374-1,Motion City Soundtrack,Panic Stations,45778737413,1,LP,Epitaph,1062,0,1,1, 
2512,ZEN211,THE BUG,ANGELS & DEVILS,5021392904368,1,LP,Ninja Tune,1444,0,1,1,25.08.2014
2513,VR12108,Reverend Bea Man And,Blues Trash,7640148982733,1,LP,Voodoo Rhythm Records,1331,0,1,2,06.01.2018
2515,GRAVE152LP,"APPLESEED CAST,THE",FLEETING LIGHT OF IMPERMANENCE,643157446675,1,LP,GRAVEFACE RECORDS &,1846,0,1,2,13.09.2019
2517,LITA159LP,ACETONE,1992-2001,826853015912,1,LP,LIGHT IN THE ATTIC,2522,0,1,1,25.01.2019
2520,FOF164LP,Anenon,Tongue,634457850415,1,LP,FRIENDS OF FRIENDS,1384,0,1,3,09.02.2018
2521,SNDWLP013,PANAMA VOLUME 2 - LATIN S,PANAMA VOLUME 2,893775001514,1,LP,SOUNDWAY,1288,0,1,1,22.06.2009
2524,METALP11,ONEMIND,ONEMIND PRESENTS ONEMIND,5053760037729,1,LP,Metalheadz,1238,0,1,1,17.05.2018
2529,1543,Jeff Beck,Live From Japan,4260134475433,1,LP,Power Station,1031,0,1,1, 
2531,ZEN80X,BONOBO,DIAL 'M' FOR MONKEY,5054429132298,1,LP,Ninja Tune,1444,0,1,3,09.06.2003
2536,DMF132LP,SOUND OF THE SIRENS,THIS TIME,5024545843064,1,LP,DMF RECORDS,1340,0,1,1,17.01.2019
2538,RZR-39389-01,LOW ANTHEM,EYELAND,888072393899,1,LP,7358 RAZOR & TIE,861,0,1,1,08.06.2016
2539,ALNLP47,CHAOUCHE,SAFE,5060391091600,1,LP,LATE NIGHT TALES,1340,0,1,1,07.06.2018
2540,GCR 20042-1,U.D.O.,Mastercutor - Alive,90204727841,1,LP,zyx/gcr,1350,0,1,1,05.07.2013
2541,19029691170,SIGUR ROS,LUNAR HALO 22 -LTD/HQ-,190296890505,1,LP,ADA-KRUNK,1620,0,1,1,09.08.2019
2542,TUGLP1070,Debashish Bhattacharya & Friends,Beyond The Ragasphere,605633007046,1,LP,RIVERBOAT,602,0,1,2, 
2544,IKMME01LP,MODERN ENGLISH,TAKE ME TO THE TREES,5056032306332,1,LP,INKIND MUSIC,1125,0,1,1,24.02.2017
2548,HDBLP034,DVA [HI:EMOTIONS],NOTU_URONLINEU,5055300386687,1,LP,HYPERDUB,842,0,1,1, 
2556,GBLP 017,Fofoulah,Fofoulah,4030433601716,1,LP,Glitterbeat Records,1062,0,1,2,19.09.2014
2561,3717108,"VELVET UNDERGROUND,THE",FEAT. NICO (REMASTERED),602537171088,1,LP,POLYDOR,1289,0,1,2,26.10.2012
2564,SJRLP103,VA,Studio One Disco Mix,5026328001036,2,LP,Soul Jazz,1830,0,1,2,01.11.2004
2565,KSCOPE1029,GONG,REJOICE! I`M DEAD!,802644802916,1,LP,Snapper,1414,0,1,1,14.06.2019
2566,VIO-025,MICHAEL HEAD AND THE RED ELAST,ADIOS SENOR PUSSYCAT,666017319919,1,LP,VIOLETTE RECORDS,1548,0,1,1,01.10.2017
2567,TWM04,FUNKADELIC,"LIVE - MEADOWBROOK, ROCHESTER,",41898188814,1,LP,TIDAL WAVES MUSIC,2306,0,1,2,01.10.2017
2570,IHR 143,AMENOPHIS (SWE),DEMOS 1991 - 1992 (VINYL),7350006763090,1,LP,I HATE RECORDS,788,0,1,1, 
2572,HZN106,ARTILECT,BLACK FIRE EP,666017326566,1,12',HORIZONS MUSIC,606,0,1,1,31.08.2018
2576,SLANG50099LP,Gold Panda,Good Luck And Do Your Best (LP+MP3),4250506816575,1,LP,CITY SLANG,892,0,1,2,18.01.2019
2579,smallville46,moomin,aquarama -2018 Repress in black double hole sleeve,827170615762,1,LP,smallville,561,0,1,1,27.11.2015
2580,BF061X,LAPALUX,RUINISM,5054429119398,1,LP,Ninja Tune,1732,0,1,1,28.07.2017
2582,3784881,ROXY MUSIC,AVALON,602537848812,1,LP,VIRGIN,1289,0,1,1,21.07.2017
2583,PRD74381,The Kenny Wayne Shepherd Band,Goin' Home (180gr 2LP),819873010913,1,LP,Mascot,1125,0,1,1,02.05.2014
2585,M75391,Black Stone Cherry,Black To Blues (180 Gr. Blue Vinyl+MP3),819873015611,1,LP,Mascot,1000,0,1,1,29.09.2017
2589,IKMME01LPSIGNED,MODERN ENGLISH,TAKE ME TO THE TREES (RECORD S,5056032307759,1,LP,INKIND MUSIC,1156,0,1,3,24.02.2017
2594,ALCOPOP169X,HAPPY ACCIDENTS,EVERYTHING BUT THE HERE AND NO,5056032312753,1,LP,ALCOPOP,1112,0,1,1,16.02.2018
2595,FREUDLP044R,"THUNDERS,JOHNNY & THE HEARTBRE",L.A.M.F - THE LOST 77 MIXES,5013145274415,1,LP,JUNGLE RECORDS,1071,0,1,1,09.03.2018
2597,WIGLP421X,BLOOD ORANGE,NEGRO SWAN (Orange Vinyl),887828042135,2,LP,Domino Records,1428,0,1,1,24.08.2018
2600,SDBANULP07,STEIGER,GIVE SPACE,5414165102861,1,LP,SDBAN ULTRA,1786,0,1,1,21.09.2018
2601,7208399,I DON'T KNOW HOW BUT THEY,1981 EXTENDED PLAY        RSD 2019,888072083998,1,LP,SPINEFARM,1650,0,1,1,10.04.2019
2602,HD020LP,JERKCURB,AIR CON EDEN,666017336916,1,LP,HANDSOME DAD RECORDS,1668,0,1,2,13.09.2019
2603,OSTGUTLP29,MARTYN,VOIDS,880319938313,1,LP,OSTGUT TON,1548,0,1,1,22.06.2018
2605,PERL123,"KORDA,CHRIS",AKOKO AJEJI,4251648412830,1,LP,PERLON,2144,0,1,2,06.09.2019
2607,8BIT8079,"MACLAINE DIEMER WITH WILBERT ROGET II, B",GUILD WARS 2: PATH OF FIRE,850971008006,1,LP,iam8bit,3044,0,1,1,04.04.2018
2608,SJRLP398,VA,Studio One Black Man's Pride,5026328003986,1,LP,Soul Jazz,1830,0,1,1,01.10.2017
2612,MOND133,MICHAEL GIACCHINO,JURASSIC WORLD: FALLEN KINGDOM,843563105245,1,LP,MONDO,2786,0,1,1,12.07.2018
2613,LECABANONALBE01,HORLA,FANTOMES,3516628301117,1,LP,LE CABANON RECORDS,1940,0,1,2,13.09.2019
2614,ZZK039LP,UJI,ALBORADA,5056032314276,1,LP,ZZK RECORDS,1689,0,1,3,08.06.2018
2616,DAP031LP,"BRADLEY,CHARLES",VICTIM OF LOVE,823134003118,1,LP,DAPTONE RECORDINGS,1386,0,1,2,01.10.2017
2617,BABE1LP,BABE,KISS & TELL,5056032307179,1,LP,KARTEL,1239,0,1,1,28.04.2017
2618,WIGLP433,Nérija,Blume,887828043316,2,LP,Domino,1126,0,1,2,02.08.2019
2619,8812181,SAMAEL,LUX MUNDI (RE-ISSUE),840588121816,2,LP,NAPALM RECORDS,1458,0,1,4,19.04.2019
2620,MRBLP158,"THOMAS,PAT/INTRODUCES MARIJATA",PAT THOMAS INTRODUCES,7119691251813,1,LP,MR BONGO,1351,0,1,3,21.04.2018
2625,GBLP 064,Fofoulah,Daega Rek,4030433606414,1,LP,Glitterbeat Records,1062,0,1,3,09.11.2018
2628,DOL922HG,SUN RA ARKESTRA & BLUES PROJECT,Batman & Robin,889397219222,1,LP,DOL,815,0,1,1, 
2629,BR002LP,"REID,NADIA",PRESERVATION,5060168041203,1,LP,BASIN ROCK,1190,0,1,1,07.07.2017
2631,DML0011,BALKAN BEAT BOX,SHOUT IT OUT,888608666855,1,LP,DIGITAL MONKEY,1012,0,1,1,11.11.2016
2634,STRUT054LP,Various,Next Stop... Soweto,730003305412,1,LP,STRUT,1920,0,1,1,29.01.2010
2635,IDIB99,TESS ROBY,BEACON,843357125527,1,LP,ITALIANS DO IT BETT,825,0,1,1,03.05.2018
2636,bec5161977,charlotte gainsbourg,i.r.m. -  2015 reissue deluxe gatefold + cd,5060281619778,2,LP,Because Music,1311,0,1,1,02.02.2015
2637,XMR137LP,GET CAPE. WEAR CAPE. FLY,YOUNG ADULT,5056032312333,1,LP,XTRA MILE RECORDINGS,1351,0,1,1,19.01.2018
2638,SKUNK1LPX,Skunk Anansie,25LIVEAT25 (Ltd. Orange 3LP+7''+Poster Deluxe Box),5053760044499,1,LP,BOOGOOYAMMA,3748,0,1,3,25.01.2019
2639,SALVO388LP,NAZARETH,Exercises (Blue Vinyl),4050538474428,1,LP,BMG RIGHTS,1116,0,1,2,05.07.2019
2640,OPPONO6LP,LOWTIDE,SOUTHERN MIND,5053760035589,1,LP,OPPOSITE NUMBER,1031,0,1,1,08.02.2018
2641,HDBLP015,LV,SEBENZA,5055300331205,1,LP,HYPERDUB,949,0,1,3, 
2645,SJRLP290-1,VA,90 Degrees of Shade Hot Jump-Up Sounds from the Ca,5026328002903,2,LP,Soul Jazz,1830,0,1,1,01.11.2014
2648,0212939EMX,Bad Company,Bad Company-Live At Wembley(Ltd.),4029759129394,1,LP+CD,EMX,1849,0,1,1,31.08.2018
2649,3340226,BRIGITTE BARDOT,LA MADRAGUE,3596973402264,1,LP,WAGRAM,1049,0,1,1,04.04.2018
2652,600753691090,WINEHOUSE AMY,BACK TO BLACK (2LP),600753691090,1,LP, ,1999,0,1,1, 
2654,5742067,"STAPLETON,CHRIS",FROM A ROOM VOLUME I,602557420678,1,LP,MERCURY NASHVILLE,1289,0,1,2,16.06.2017
2655,cram 281DLP,EKITI SOUND,ABEG NO VEX,876623007876,1,LP,CRAMMED DISCS,1625,0,1,2,26.04.2019
2665,KRANK221LP,LOSCIL,EQUIVALENTS,796441822119,1,LP,KRANKY RECORDS,1891,0,1,2,16.08.2019
2667,GBLP 040,Gaye Su Akyol,Hologram İmparatorluğu,4030433604014,1,LP,Glitterbeat Records,1062,0,1,6,11.11.2016
2668,PRAH008,LUNG DART,AS I LAY DRYING,5056032304444,1,LP,PRAH RECORDINGS,1125,0,1,1,09.09.2016
2669,MRBLP210,Ebo Taylor Jnr & Wuta Wazutu,Gotta Take It Cool,7119691260815,1,LP,Mr Bongo Records,1351,0,1,5,06.09.2019
2670,RPUT19X,TRIPTIDES,AFTERGLOW (COLOURED VINYL),5056032308091,1,LP,REQUIEM FOR A TWISTER,1112,0,1,1,14.07.2017
2672,STRUT204LP,Various,Disco Not Disco (RSD),730003320415,1,LP,STRUT,2074,0,1,1,03.05.2019
2675,TMR540,"WHITE, JACK",BOARDING HOUSE REACH,190758189413,1,LP,BBQ-THIRD MAN,1799,0,1,16,23.03.2018
2676,PUSSY67,BLOOD WINE OR HONEY,TOMORROW,5030148006775,1,LP, ,1032,0,1,2,12.07.2019
2677,IDIB27BLUE,CHROMATICS,IN THE CITY (BLUE/CLEAR VINYL REPRESS),5053760038764,1,LP,ITALIANS DO IT BETT,1469,0,1,1,07.03.2018
2678,MOND126,OST,CASTLEVANIA: RONDO OF BLOOD,5053760042433,1,LP,MONDO,2579,0,1,2,15.11.2018
2680,DEMREC206,STATUS QUO,THE PARTY AINT OVER - STATUS QUO,5014797895737,2,LP,Demon,1522,0,1,1,03.02.2017
2682,bec5156078,cerrone,cerrone vii -you are the one yellow lp +cd),5060421560786,1,LP,Because Music,1218,0,1,1,30.10.2015
2685,HDBLP043,MANA,SEVEN STEPS BEHIND,5055869558693,1,LP,HYPERDUB,984,0,1,2, 
2687,4728044,YEARS & YEARS,COMMUNION,602547280442,1,LP,POLYDOR,1688,0,1,2,10.07.2015
2688,XMR096LP,RETROSPECTIVE SOUNDTRACK PLAYE,ITS A WONDERFUL CHRISTMAS CAR,5060091555440,1,LP,XTRA MILE RECORDINGS,1125,0,1,1,08.12.2014
2689,BAY113V,SNAPPED ANKLES,STUNNING LUXURY,843190011315,1,LP,THE LEAF LABEL,1071,0,1,1,01.03.2019
2691,MRBLP147,"HERNANDEZ,GABY",SPIRIT REFLECTION,7119691248219,1,LP,MR BONGO,1012,0,1,1,23.06.2017
2694,3340266,ELVIS PRESLEY,DON'T BE CRUEL,3596973402660,1,LP,WAGRAM,839,0,1,1,01.11.2017
2695,7202465,"MAHAL,TAJ/MO',KEB'",TAJMO,888072024656,1,LP,CONCORD JAZZ,1458,0,1,1,16.06.2017
2698,BAY76V,WILDBIRDS AND PEACEDRUMS,RIVERS,843190007615,1,LP,THE LEAF LABEL,952,0,1,1,01.10.2017
2699,TWM36,OFEGE,HIGHER PLANE BREEZE,676753887344,1,LP,TIDAL WAVES MUSIC,2029,0,1,2,23.08.2019
2701,REPOSELP081,TARAS BULBA,ONE,666017338316,1,LP,RIOT SEASON,1190,0,1,2,13.09.2019
2702,GBLP 013,Bombino,Agamgam,4030433601310,1,LP,Glitterbeat Records,1062,0,1,2,19.04.2014
2706,SJRLP369,LAARAJI,Laraaji 'Celestial Vibration',5026328003696,1,LP,SoulJazz,1235,0,1,2,01.02.2017
2711,CAD3709,COCTEAU TWINS,HEAD OVER HEELS,652637370911,1,LP,BBQ-4AD,1305,0,1,1,16.03.2018
2712,XMR119LP,SAINT LEONARD'S HORSES,GOOD LUCK EVERYBODY,5056032306677,1,LP,XTRA MILE RECORDINGS,1239,0,1,1,18.11.2016
2713,THRILL406LP,Tortoise,The Catastrophist (LP+MP3),790377040616,1,LP,THRILL JOCKEY,1211,0,1,2,29.01.2016
2714,FUTNO31B,DEVO,SMOOTH NOODLE MAPS (DELUXE) (DONUT GLAZE - CLEAR M,634158930393,1,LP,FUTURISMO,2890,0,1,4,08.03.2019
2715,DOST676H,MARILYN MONROE,Some Like It Hot - Coloured Vinyl,889397556761,1,LP,DOL,752,0,1,2, 
2716,WRWTFWW030,"ASHIKAWA,SATOSHI",STILL WAY (WAVE NOTATION 2),4260544827020,1,LP,WE RELEASE WHATEVER,2262,0,1,2,06.09.2019
2717,5719655,TALISCO,CAPITOL VISION,602557196559,1,LP,VIRGIN RECORDS GERMANY,1200,0,1,1,27.01.2017
2721,CRAM 015 LP,MINIMAL COMPACT,ONE (STATIK DANCING’) (REMASTERED),876623007678,1,LP,CRAMMED DISCS,625,0,1,2,09.07.2009
2722,TR20121,"GOLIGHTLY,HOLLY & THE BROKEOFF",SUNDAY RUN ME OVER,20286210597,1,LP,MEGAFORCE,696,0,1,1,05.11.2012
2723,CHARLY104L,SMALL FACES,SMALL FACES,803415180417,1,LP,Snapper,1224,0,1,2,03.09.2012
2724,bec5161733,mr. oizo,wrong cops,5060281617330,2,LP,ed banger,1311,0,1,1,22.01.2014
2725,DOS686H,BO DIDDLEY,Is A Twister,889397556860,1,LP,DOL,689,0,1,2, 
2727,DAD3627,DEAD CAN DANCE,TOWARD THE WITHIN,652637362718,2,LP,BBQ-4AD,1619,0,1,1,10.11.2016
2729,JPRLP10,BELLE & SEBASTIAN,FOLD YOUR HANDS CHILD YOU WALK LIKE,5027731385102,1,LP,JEEPSTER,1260,0,1,1,18.03.2009
2732,5715268,MAECKES,TILT,602557152685,2,LP,VERTIGO,1538,0,1,1,21.10.2016
2739,FOR44970LP,Reverend Peyton’s Big Damn Band,Poor Until Payday (LP),752830544970,1,LP,Family Owned Records,1332,0,1,1,05.10.2018
2740,1547,Elvis Presley,Hits In Red (Red LP),4260134475471,1,LP,Power Station,1031,0,1,2, 
2742,RGNET1233LP,Muddy Waters,The Rough Guide To Muddy Waters (Reborn and Remast,9781908025005,1,LP,ROUGH GUIDE,602,0,1,3, 
2743,1875,V.A.,Greetings From Havanna,4260134478755,1,LP,Power Station,1031,0,1,1, 
2744,WEIRD042LPX,Jaakko Eino Kalevi,Jaakko Eino Kalevi,887833004234,1,LP,DOMINO,1126,0,1,1,15.06.2015
2746,RGIRL121LP,"REYNOLDS,ANTHONY",A PAINTERS LIFE,5016266112116,1,LP,ROCKET GIRL,1071,0,1,2,23.08.2019
2747,PRD71581,Joe Bonamassa,Blues Deluxe,8712725715818,1,LP,Mascot,1000,0,1,1,09.11.2012
2749,MRBLP161,JACKSON SISTERS,JACKSON SISTERS,7119691252216,1,LP,MR BONGO,1351,0,1,3,22.06.2018
2750,7753122,"WILSON,REUBEN",BLUE MODE                 Blue Grooves Part 1,602577531224,1,LP,BLUE NOTE RECORDS,1688,0,1,1,12.07.2019
2751,TNP026LP,FAY,DEAL,880319840913,1,LP,Time No Place,1086,0,1,1, 
2753,DOR115LP,Brooklyn Funk Essentials,Stay Good,5023639011563,1,LP,Mr Bongo Records,1239,0,1,5,20.09.2019
2754,GRAPHFAR30LP,GINGER WILDHEART,GHOST IN THE TANGLEWOOD,5053760037323,1,LP,GRAPHITE,1238,0,1,1,22.02.2018
2756,CAK121LP,TORO Y MOI,BOO BOO,677517012118,1,LP,CARPARK RECORDS,1310,0,1,1,07.07.2017
2762,MOND137,CARTER BURWELL,MISSING LINK,843563118498,1,LP,MONDO,2788,0,1,1,16.08.2019
2763,3358376,SAM COOKE,CHAIN GANG,3596973583765,1,LP,WAGRAM,928,0,1,1,25.10.2018
2771,285099,"Pell, Axel Rudi",Knights Call Lt. BOX-Set,886922850998,1,LP,Steamhammer - Hannover,2916,0,1,1,20.04.2018
2776,BGP2 308,Various,"If You're Not Part Of The Solution: Soul, Politics",29667006118,1,LP,BGP,1144,0,1,1,26.04.2019
2777,BTJLP1,DAPHNE & CELESTE,DAPHNE & CELESTE SAVE THE WORLD,5053760037217,1,LP,BALATONIC,1364,0,1,1,21.03.2018
2778,STS-007,"TANAKA,HIROKAZU AND KEIICHI SU",MOTHER 2 (1994 ORIGINAL SOUNDT,888751331815,1,LP,SHIP TO SHORE,3829,0,1,2,09.08.2019
2780,WEIRD048LP,RICHARD DAWSON,NOTHING IMPORTANT,887833004814,1,LP,Weird World,1109,0,1,7,03.11.2014
2782,ZEN132,THE BUG,LONDON ZOO,5021392486185,1,LP,Ninja Tune,1540,0,1,2,06.07.2004
2785,3340206,BOB DYLAN,HOUSE OF THE RISIN¿ SUN,3596973402066,1,LP,WAGRAM,839,0,1,2,29.03.2017
2786,MAXIBOX LP20,VARIOUS,12' Collector's Vinyl Box - Go,194111000445,1,LP,zyx,1225,0,1,1,30.08.2019
2789,PRAH019LP,POZI,PZ1,5056032320314,1,LP,PRAH RECORDINGS,1125,0,1,1,05.04.2019
2790,SILKED6056,THE CITY OF PRAGUE PHILARMONIC ORCHESTRA,GAME OF THRONES,3770008926288,1,LP,Diggers Factory,1960,0,1,2,14.02.2019
2792,UTR069LP,Deerhoof,La Isla Bonita,828887006911,1,LP,Upset the Rhythm,1086,0,1,2, 
2795,DW8R,JOHN CARPENTER & ALAN HOWARTH,HALLOWEEN III - SEASON OF THE WITCH,5053760041917,1,LP,DEATH WALTZ RECORDIN,2372,0,1,1,20.09.2018
2796,7203711,ST. VINCENT,MASSEDUCTION              pink vinyl,888072037113,1,LP,CAROLINE RECORDS,1538,0,1,1,13.10.2017
2798,RPUT16,CHEAP RIOT,BALLROOM PORTRAITS,5060091557338,1,LP,REQUIEM FOR A TWISTER,1125,0,1,1,06.11.2015
2801,DOL946HG,WAILERS,The Best Of The Wailers Beverley's Records,889397219468,1,LP,DOL,815,0,1,2, 
2802,bec5161740,john butler trio,flesh & blood,5060281617408,1,LP,Because Music,1405,0,1,2,03.02.2014
2804,MA83LP,VARIOUS ARTISTS,GOOSEBUMPS - 25 YEARS OF MARIN,4015698017557,1,LP,MARINA RECORDS,2144,0,1,1,28.09.2018
2805,ZEN168,AMON TOBIN,ISAM,5021392656182,1,LP,Ninja Tune,1540,0,1,1,22.05.2007
2811,EPIT 27409-1,Doe Paoro,After,8714092740912,1,LP,Epitaph,1062,0,1,3, 
2813,ZEN241,ACTRESS,AZD,5054429007541,1,LP,Ninja Tune,1444,0,1,1,14.04.2017
2814,8740673,DIVERSE FILM/TV-SERIEN,SIMPLY SHERMAN: DISNEY HITS FROM THE SHERMAN... - ,50087406738,1,LP,WALT DISNEY RECORDS,1688,0,1,3,10.04.2019
2817,TAMB194LP,PALACE WINTER,NOWADAYS,7332181081961,1,LP,TAMBOURHINOCEROS,1156,0,1,1,04.05.2018
2825,OLE11250,QUEENS OF THE STONE AGE,VILLAINS -DELUXE-,744861112501,2,LP,BBQ-MATADOR,2069,0,1,1,24.08.2017
2826,AURLP21,BENNETT WILSON POOLE,BENNETT WILSON POOLE,666017322315,1,LP,AURORA,1310,0,1,1,06.04.2018
2827,SJRLP309-1,VA,Nu Yorica! Culture Clash In New York City: Experim,5026328003092,1,LP,Soul Jazz,1830,0,1,3,01.05.2015
2829,GO413LPC,GANG OF FOUR,HAPPY NOW,5053760049739,1,LP,GANG OF FOUR,1754,0,1,1,30.05.2019
2830,XMR123LPB,AGAINST ME!,SHAPE SHIFT WITH ME,5056032305441,1,LP,XTRA MILE,1389,0,1,1,16.09.2016
2832,DMGTVLPX065,HANK MARVIN,WITHOUT A WORD - HANK MARVIN - VINYL,5014797896109,1,LP,Demon,1522,0,1,1,02.06.2017
2833,OWS15,POPOL VUH,SPIRIT OF PEACE,41898188876,1,LP,ONE WAY STATIC,2489,0,1,1,01.10.2017
2835,FR LP 868W,TNT,XIII (LP) White,8024391086834,1,LP,Frontiers,1500,0,1,1, 
2836,SNDWLP121,"MOVERS,THE",KANSAS CITY,5056032310407,1,LP,Soundway Records,1320,0,1,2,08.09.2017
2837,ALCOPOP115,VARIOUS,SENSIBLE RECORD LABELS,5060366781796,1,LP, ,669,0,1,1,18.04.2015
2839,WM052,Clutch,Full Fathom Five (2LP/Gatefold),896308002705,2,LP,WEATHERMAKER MUSIC,1312,0,1,1,16.09.2016
2840,7185111,"ROLLING STONES,THE",BIG HITS (HIGH TIDE & GREEN GRASS) - RSD 2019,18771851110,1,LP,POLYDOR,2194,0,1,4,10.04.2019
2841,MRBLP129,"BRANCO,WALTEL",ASSIM NA TERRA COMO NO CEU,7119691238814,1,LP,MR BONGO,1239,0,1,1,20.11.2015
2842,12TRIX017,SILENCE,SKIN (THE REMIXES),3830031970310,1,LP,MATRIX MUSIC,31,0,1,49, 
2844,MTM 44LP,STUBBLEMAN,MOUNTAINS AND PLAINS,876623007982,1,LP,CRAMMED DISCS,1625,0,1,1,26.04.2019
2846,FARO195LP,Victor Assis Brasil,Toca Antonio Carlos Jobim,5060211503269,1,LP,Far Out,1121,0,1,2, 
2847,A-TONLP04,"DETTMANN,MARCEL",MARCEL DETTMANN PRESENTS RAUCH,880319895418,1,LP,A-TON,1429,0,1,1,08.12.2017
2848,MOND105,ERIC SERRA,FIFTH ELEMENT,616892498049,1,LP,MONDO,2786,0,1,2,08.06.2017
2852,ZEN212,FALTYDL,IN THE WILD,5021392922263,2,LP,Ninja Tune,1444,0,1,1,11.08.2014
2854,7719982,"COREA,CHICK","NOW HE SINGS, NOW HE SOBS Tone Poet Series",602577199820,1,LP,BLUE NOTE RECORDS,2531,0,1,3,22.02.2019
2856,IDA084LP,CHAPELIER FOU,DELETED - INVISIBLE,3700398708072,1,LP,ICI DAILLEURS,1448,0,1,1,01.10.2012
2859,PRD73331,Joe Bonamassa,Dust Bowl,8712725733317,1,LP,Mascot,1000,0,1,1,18.03.2011
2860,DAP-051LP,"JAMES HUNTER SIX,THE",WHATEVER IT TAKES,823134005112,1,LP,DAPTONE RECORDINGS,1386,0,1,1,02.02.2018
2862,SNDWLP059,BATIDA,DOIS,5060091555051,1,LP, ,879,0,1,1,10.11.2014
2863,ZYX 56081-1,"HALLYDAY, JOHNNY",Favourite Songs,90204523665,1,LP,zyx,1100,0,1,2,23.02.2018
2866,PRD75651,Kenny Wayne Shepherd,The Traveler (180 Gr.Black Vinyl+MP3),819873019312,1,LP,Mascot,1250,0,1,1,31.05.2019
2871,ZEN12159,BLOCKHEAD,SUNDAY SÂ¿ANCE / JET SON (FEAT AESOP ROCK,5021392400167,1,LP,Ninja Tune,314,0,1,1,18.10.2004
2872,RGNET1380LP,Skip james,The Rough Guide To Skip James,605633138047,1,LP,ROUGH GUIDE,602,0,1,1, 
2873,DW7R,JOHN CARPENTER & ALAN HOWARTH,HALLOWEEN II,5053760042174,1,LP,DEATH WALTZ RECORDIN,2372,0,1,2,18.10.2014
2876,RUG216,Arctic Monkeys,When The Sun Goes Down,887829021672,1,7',Domino,352,0,1,3,09.08.2019
2881,4721639,"CLEMENTINE,BENJAMIN",AT LEAST FOR NOW          2lp,602547216397,2,LP,CAROLINE RECORDS,2110,0,1,2,17.04.2015
2882,VOODOO704LP,PSYENCE,PSYENCE,5053760050483,1,LP,VOODOO 7 RECORDS,1239,0,1,1,16.08.2019
2887,TMR14LP,CHUPA CABRA / NO FRIENDZ,SPLIT LP,5053760034490,1,LP,TRASH MOUTH,1364,0,1,1,21.02.2018
2888,DOL1028HG,LOUIS PRIMA,The King Of Jive vol.I,889397310288,1,LP,DOL,815,0,1,2, 
2892,3349886,DUKE ELLINGTON,CARAVAN,3596973498861,1,LP,WAGRAM,825,0,1,1,26.10.2017
2894,DW50,ANGELO BADALAMENTI,TWIN PEAKS,826853874212,1,LP,DEATH WALTZ RECORDIN,2270,0,1,2,01.09.2016
