,ID,ARTIST,TITLE,BARCODE,UNIT,FORMAT,LABEL,PRICE,PRECISION,DELIVERY,STOCK,DATE
3791,PRD75251,Kenny Wayne Shepherd,Lay It On Down (180 Gr. Black Vinyl+MP3),819873015017,1,LP,Mascot,1250,0,1,2,21.07.2017
3792,0214216EMU,"Cooper,Alice","Cooper,Alice-Breadcrumbs(Ltd.)",4029759142164,1,LP,EMU,639,0,1,1,13.09.2019
3793,6726235,"MOUSKOURI,NANA",FOREVER YOUNG,602567262350,2,LP,MERCURY,1688,0,1,3,02.02.2018
3795,ALNLP48W,GARDEN CITY MOVEMENT,Apollonia (White Vinyl),5060391091501,1,LP,LATE NIGHT TALES,1651,0,1,1,07.03.2018
3797,WIGLP424X,Clinic,Wheeltappers and Shunters,887828042432,1,LP,Domino Records,1269,0,1,6,10.05.2019
3799,WIGLP445X,One True Pairing,One True Pairing,887828044535,1,LP,Domino,1126,0,1,3,20.09.2019
3801,DOS729H,DEAN MARTIN,This Is Dean Martin!,889397577292,1,LP,DOL,689,0,1,2, 
3802,RGNET1365LP-1,V/A,The Rough Guide To Cambodian Psychedelia,605633136548,1,LP,Rough Guide,601,0,1,1, 
3804,4733120,"COSTELLO,ELVIS",TRUST,602547331205,1,LP,UNIVERSAL,1688,0,1,1,04.12.2015
3806,3362246,PI JA MA,NICE TO MEET YOU,3596973622464,1,LP,WAGRAM,1238,0,1,1,10.01.2019
3807,ZEN241X,ACTRESS,AZD,5054429007558,1,LP,Ninja Tune,1925,0,1,1,14.04.2017
3808,7794354,"POP,IGGY",FREE (LTD. COLOURED VINYL),602577943546,1,LP,CAROLINE RECORDS,1650,0,1,2,06.09.2019
3809,4762426,HATER,HATER,602547624260,1,LP,UNIVERSAL,1548,0,1,6,15.07.2016
3811,HELL 20533-1,The Interrupters,Fight the Good Fight,8714092053319,1,LP,Hell Cat,1000,0,1,1, 
3813,780161,Various Artists,Very Best Of Death Row (Explic,728706306010,2,LP,Death Row,1136,0,1,1,01.08.2017
3815,CAD3430,MERCHANDISE,AFTER THE END,652637343014,1,LP,BBQ-4AD,1305,0,1,1,21.08.2014
3816,ZEN223,JAGA JAZZIST,JAGA JAZZIST-STARFIRE,5054429001662,1,LP,Ninja Tune,1251,0,1,1,01.06.2015
3818,SCR6LPX,PATRICK WATSON,JUST ANOTHER ORDINARY DAY (DELUXE VERSION),680341060019,1,LP,SECRET CITY,1750,0,1,1, 
3819,GBEP 014,Black Mango,Naked Venus / Soft Kicks,4030433601471,1,12',Glitterbeat Records,500,0,1,2,09.05.2014
3820,CHARLYL157,TOWNES VAN ZANDT,OUR MOTHER THE MOUNTAIN,803415815715,1,LP,Snapper,1224,0,1,3,18.08.2014
3826,BAY101V,MELT YOURSELF DOWN,LAST EVENINGS ON EARTH,843190010110,1,LP,THE LEAF LABEL,568,0,1,1,01.10.2017
3827,EPIT 27659-1,The Dream Syndicate,These Times,8714092765915,1,LP,Epitaph,1062,0,1,4,03.05.2019
3828,TUGLP1091,Lost In Mali,Lost In Mali,605633009149,1,LP,RIVERBOAT,602,0,1,1, 
3830,DOL745HG,THELONIOUS MONK,Alone In San Francisco,889397217457,1,LP,DOL,815,0,1,1, 
3831,OWS22,"WAKEMAN,RICK",PHANTOM OF THE OPERA,92624999464,1,LP,ONE WAY STATIC,2428,0,1,2,05.01.2018
3833,ZEN203,ILLUM SPHERE,GHOSTS OF THEN AND NOW,5021392874166,2,LP,Ninja Tune,1444,0,1,1,10.02.2014
