"ID";"ARTIST";"TITLE";"BARCODE";"UNIT";"FORMAT";"LABEL";"PRICE";"PRECISION";"DELIVERY";"STOCK";"DATE"
"KOMPAKT381";"GIBSON,KENNETH JAMES";"IN THE FIELDS OF NOTHING";"880319900518";"1";"LP";"KOMPAKT";"1401";"0";"1";"1";"23.03.2018"
"M4003";"Electric Hydra";"The Last Of Us";"0200000075729";"1";"7'";"MOD";"625";"0";"1";"1";""
"RGNET1298LP";"Lemon Jefferson";"The Rough Guide To Blind Lemon Jefferson";"605633629828";"1";"LP";"ROUGH GUIDE";"602";"0";"1";"2";""
"EPIT 26635-2";"BAD RELIGION";"Process of Belief";"8714092663525";"1";"CD";"Epitaph";"562";"0";"1";"1";""
"TTR005LP";"THING, THE";"SHAKE";"9120036682016";"1";"LP2";"THE THING RECORDS";"1791";"0";"1";"1";"01.10.2017"
"WCD78";"ORCHESTRA BAOBAB";"MADE IN DAKAR";"769233007827";"1";"CD";"ADA-WORLD CIRCUIT";"828";"0";"1";"1";"15.10.2007"
"XMR139LPX";"VARLEY,WILL";"SPIRIT OF MINNIE (INDIE EXC RE";"5056032313507";"1";"LP";"XTRA MILE RECORDINGS";"1125";"0";"1";"1";"09.02.2018"
"ACME342BOX";"REINHARDT,DJANGO";"DIMINISHING BLACKNESS ~ THE CO";"5013929334281";"1";"CD";"Cherry Red";"935";"0";"1";"1";"25.01.2019"
"ZYX 55896-2";"SERGI ELIAS PRES.";"ZYX Italo Disco In The Mix 2";"194111000391";"1";"CD";"zyx";"700";"0";"1";"5";"13.09.2019"
"LITA176LP";"HAZLEWOOD,LEE";"400 MILES FROM L.A. 1955-56";"826853017619";"1";"LP";"LIGHT IN THE ATTIC";"2649";"0";"1";"1";"13.09.2019"
"3941581";"CHEMICAL BROTHERS,THE";"WE ARE THE NIGHT";"0094639415816";"2";"LP";"VIRGIN RECORDS";"1688";"0";"1";"1";"28.04.2017"
"LFRMX014";"Michael E_Lituus";"LF RMX 014 (Len Faki Mi";"4251648412175";"1";"LP";"LF RMX";"809";"0";"1";"1";"10.05.2019"
"0213164EMU";"Gillan,Ian";"Gillan,Ian-Gillan&Javelins";"4029759131649";"1";"LP";"EMU";"1739";"0";"1";"1";"31.08.2018"
"KSCD084";"VARIOUS ARTISTS";"SOME A HOLLA, SOME A BAWL";"5060135762759";"1";"CD";"KINGSTON SOUNDS";"638";"0";"1";"1";"20.09.2019"
"SJRCD399";"VA";"Yoruba!  Songs and Rhythms for the Yoruba Gods in ";"5026328103990";"1";"CD";"Soul Jazz";"966";"0";"1";"2";"01.05.2018"
"VSP066";"Scarab";"Serpents of the Nile";"7320470188422";"1";"CD";"VICISOLUMP";"875";"0";"1";"1";"06.03.2015"
"RGNET1309CD";"VA";"The Rough Guide To Latin Rare Groove (Volume 1)";"605633130928";"1";"CD";"ROUGH GUIDE";"382";"0";"1";"2";""
"TUGCD1087";"FatDog";"New Found Land";"605633008722";"1";"CD";"RIVERBOAT";"425";"0";"1";"1";""
"OSTGUTLP27";"STEFFI";"WORLD OF THE WAKING STATE";"880319873331";"1";"LP";"OSTGUT TON";"1548";"0";"1";"1";"22.09.2017"
"MRBLP153";"BURNIER & CARTIER";"BURNIER & CARTIER";"7119691250212";"1";"LP";"MR BONGO";"1351";"0";"1";"5";"06.04.2018"
"SOAKLP171";"DEAF HAVANA";"RITUALS";"0738572289379";"1";"LP";"SO RECORDINGS";"1291";"0";"1";"1";"26.07.2018"
"DTG 0369";"Wood,Elijah/Hu,Kelly";"PARANORMAL MASSACRE BOX (4 FILME-UNCUT-EDITION)";"4059473001225";"1";"DVD";"TRUE GRIT PICTURES / DAREDO";"394";"0";"1";"1";""
"DFG8590";"Blind Boys of Alabama (The)";"Praying Time";"3448969277328";"1";"CD";"DIXIEFROG";"250";"0";"1";"2";"04.09.2006"
"ZYX 82967-2";"Dreamscape Vol. 1";"Mixed By Zyrus 7 & Stefan Ludley";"90204656196";"1";"CD";"Zyx Music (ZYX)";"1094";"0";"1";"2";"12.04.2019"
"RGNET1318CD";"VA";"The Rough Guide To Indian Classical Music";"605633131826";"1";"CD";"ROUGH GUIDE";"382";"0";"1";"2";""
"BARNVOL001CD";"VARIOUS ARTISTS";"STUDIO BARNHUS VOLYM 1";"4260544824340";"1";"CD";"STUDIO BARNHUS";"832";"0";"1";"1";"21.09.2018"
"XMR105CD";"AGAINST ME!";"23 LIVE SEX ACTS";"5060091557765";"1";"CD";"XTRA MILE RECORDINGS";"916";"0";"1";"2";"04.09.2015"
"DW119";"ROB";"CAMPFIRE CREEPERS";"5053760038634";"1";"LP";"DEATH WALTZ RECORDIN";"1238";"0";"1";"1";"07.06.2018"
"DFG8744";"Alexx & the Mooonshiners";"Mooonset, Mooonrise";"3149028037326";"2";"CD";"DIXIEFROG";"750";"0";"1";"1";"23.04.2013"
"SIS 1222-1";"BEACH BOYS, THE";"Greatest Surf Hits";"090204527502";"1";"LP";"zyx/sis";"1100";"0";"1";"2";"16.06.2017"
"ZENCD231";"SPACE DIMENSION CONTROLLER";"ORANGE MELAMINE";"5054429005196";"1";"CD";"Ninja Tune";"534";"0";"1";"1";"22.07.2016"
"TSP4440072";"Freak Kitchen";"Dead Soul Men";"0044006021928";"1";"CD";"THUNDERSTR";"625";"0";"1";"1";"04.04.2014"
"K7255CD";"JUAN MACLEAN";"DJ-KICKS";"0730003725722";"1";"CD";"K7";"375";"0";"1";"1";"26.04.2010"
"8BIT8051";"TAKESHI FURUKAWA";"LAST GUARDIAN (BLACK & WHITE MARBLED VINYL)";"0852428007594";"1";"LP";"iam8bit";"2786";"0";"1";"1";"17.08.2017"
"2230";"John Lee Hooker";"The Album";"7619943022302";"1";"CD";"Power Station";"325";"0";"1";"2";""
